ID Calon Mahasiswa,Nilai Tes Potensi Skolastik,Nilai Literasi Bahasa Indonesia,Nilai Literasi Bahasa Inggris,Nilai Penalaran Matematika,Nilai Total,Nilai Rerata
CM000827,49,98,37,23,207,51
CM000828,77,92,68,97,334,83
CM000829,37,60,28,36,161,40
CM000830,97,50,6,83,236,59
CM000831,62,24,14,84,184,46
CM000832,57,56,61,94,268,67
CM000833,62,48,48,99,257,64
CM000834,31,72,86,61,250,62
CM000835,64,5,79,50,198,49
CM000836,96,50,61,10,217,54
CM000837,6,60,44,86,196,49
CM000838,43,0,43,54,140,35
CM000839,17,95,39,28,179,44
CM000840,20,1,14,49,84,21
CM000841,63,16,25,30,134,33
CM000842,9,100,38,2,149,37
CM000843,39,53,92,96,280,70
CM000844,71,32,43,65,211,52
CM000845,46,5,58,78,187,46
CM000846,30,14,38,40,122,30
CM000847,32,51,7,58,148,37
CM000848,31,25,53,23,132,33
CM000849,14,86,13,30,143,35
CM000850,51,89,99,76,315,78
CM000851,58,3,35,60,156,39
CM000852,45,89,44,45,223,55
CM000853,95,84,67,53,299,74
CM000854,5,19,54,68,146,36
CM000855,62,12,35,50,159,39
CM000856,60,29,5,58,152,38
CM000857,85,4,64,89,242,60
CM000858,87,12,22,6,127,31
CM000859,41,51,76,54,222,55
CM000860,71,43,89,16,219,54
CM000861,100,43,76,35,254,63
CM000862,92,45,61,34,232,58
CM000863,26,95,72,88,281,70
CM000864,99,1,87,31,218,54
CM000865,21,57,8,18,104,26
CM000866,74,58,71,71,274,68
CM000867,34,47,22,90,193,48
CM000868,49,94,62,42,247,61
CM000869,33,97,91,78,299,74
CM000870,72,91,4,91,258,64
CM000871,10,3,38,75,126,31
CM000872,19,94,99,58,270,67
CM000873,26,91,10,52,179,44
CM000874,0,34,20,64,118,29
CM000875,78,49,41,90,258,64
CM000876,94,90,2,12,198,49
CM000877,100,5,47,74,226,56
CM000878,23,55,14,76,168,42
CM000879,3,55,9,29,96,24
CM000880,82,100,8,88,278,69
CM000881,31,39,2,36,108,27
CM000882,36,65,94,38,233,58
CM000883,45,21,10,96,172,43
CM000884,63,28,63,43,197,49
CM000885,5,60,39,12,116,29
CM000886,32,53,74,42,201,50
CM000887,97,55,52,75,279,69
CM000888,58,39,59,33,189,47
CM000889,60,73,50,13,196,49
CM000890,17,24,88,91,220,55
CM000891,92,95,22,69,278,69
CM000892,73,72,21,52,218,54
CM000893,87,65,70,82,304,76
CM000894,10,84,45,50,189,47
CM000895,46,86,29,81,242,60
CM000896,80,35,30,93,238,59
CM000897,98,93,33,45,269,67
CM000898,68,31,72,19,190,47
CM000899,7,59,45,73,184,46
CM000900,27,80,47,69,223,55
CM000901,77,43,44,71,235,58
CM000902,4,18,42,70,134,33
CM000903,88,88,38,32,246,61
CM000904,20,53,54,69,196,49
CM000905,30,64,26,20,140,35
CM000906,89,70,6,25,190,47
CM000907,64,46,54,80,244,61
CM000908,75,58,76,5,214,53
CM000909,72,39,84,6,201,50
CM000910,95,99,34,30,258,64
CM000911,10,80,66,38,194,48
CM000912,60,20,72,92,244,61
CM000913,24,67,70,30,191,47
CM000915,31,86,63,51,231,57
CM000916,41,53,56,97,247,61
CM000917,61,96,82,77,316,79
CM000918,22,34,48,79,183,45
CM000919,95,34,53,33,215,53
CM000920,43,85,55,79,262,65
CM000921,10,61,46,95,212,53
CM000922,45,9,20,60,134,33
CM000923,20,82,59,86,247,61
CM000924,9,93,88,98,288,72
CM000925,15,28,17,7,67,16
CM000926,22,58,65,75,220,55
CM000927,6,83,28,55,172,43
CM000928,74,39,4,9,126,31
CM000929,22,3,61,51,137,34
CM000930,40,50,53,20,163,40
CM000931,41,40,55,35,171,42
CM000932,79,85,10,41,215,53
CM000933,10,17,44,65,136,34
CM000934,55,11,56,37,159,39
CM000935,0,66,38,46,150,37
CM000936,93,10,19,91,213,53
CM000937,63,24,94,95,276,69
CM000938,32,50,30,54,166,41
CM000939,70,37,19,36,162,40
CM000940,70,3,74,4,151,37
CM000941,29,53,53,79,214,53
CM000942,49,16,71,22,158,39
CM000943,95,58,69,47,269,67
CM000944,73,56,26,98,253,63
CM000945,69,5,83,26,183,45
CM000946,75,26,54,1,156,39
CM000947,9,90,41,33,173,43
CM000948,73,30,96,69,268,67
CM000949,76,67,51,90,284,71
CM000950,14,18,99,50,181,45
CM000951,74,36,8,5,123,30
CM000952,45,40,100,79,264,66
CM000953,99,78,37,37,251,62
CM000954,53,63,67,74,257,64
CM000955,61,68,13,15,157,39
CM000956,17,21,55,70,163,40
CM000957,67,92,66,51,276,69
CM000958,1,67,24,54,146,36
CM000959,73,45,43,81,242,60
CM000960,70,85,83,9,247,61
CM000961,27,80,93,38,238,59
CM000962,36,23,89,48,196,49
CM000963,61,44,58,46,209,52
CM000964,13,53,36,53,155,38
CM000965,86,0,28,3,117,29
CM000966,99,52,43,10,204,51
CM000967,52,96,10,30,188,47
CM000968,25,60,5,1,91,22
CM000969,23,73,40,20,156,39
CM000970,43,0,33,90,166,41
CM000971,68,0,65,38,171,42
CM000972,77,2,84,86,249,62
CM000973,7,7,66,99,179,44
CM000974,32,92,29,68,221,55
CM000975,87,14,61,35,197,49
CM000976,11,7,93,38,149,37
CM000977,34,31,3,91,159,39
CM000978,38,9,45,73,165,41
CM000979,91,53,55,75,274,68
CM000980,4,31,73,5,113,28
CM000981,65,89,27,10,191,47
CM000982,0,21,26,14,61,15
CM000983,96,65,59,43,263,65
CM000984,78,81,48,92,299,74
CM000985,21,79,51,92,243,60
CM000986,15,40,14,17,86,21
CM000987,67,41,67,55,230,57
CM000988,26,6,38,27,97,24
CM000989,70,17,91,86,264,66
CM000990,80,1,96,81,258,64
CM000991,37,32,63,15,147,36
CM000992,89,37,25,42,193,48
CM000993,98,73,18,7,196,49
CM000994,85,62,61,94,302,75
CM000995,85,49,60,66,260,65
CM000996,94,49,34,56,233,58
CM000997,63,37,61,62,223,55
CM000998,13,96,67,88,264,66
CM000999,78,16,89,68,251,62
CM001000,47,50,0,87,184,46
